Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
,,,,,Infinity,,90,110,2559,,"220,096",,,,,
<learning path title,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-synapse-analytics-azure-data-ai-services/,2,532,"3,178",18.85%,260,49,52,2559,10.43668546,316,106,learn.wwl.integrate-azure-synapse-analytics-azure-data-ai-services,data-analyst;data-engineer;data-scientist,azure-machine-learning;power-bi;azure-synapse-analytics,intermediate
Accelerate cloud adoption with the Microsoft Cloud Adoption Framework for Azure,https://docs.microsoft.com/en-us/learn/paths/cloud-adoption-framework/,8,"1,242","9,142",7.06%,538,38,41,2559,16.99412238,278,582,learn.accelerate-cloud-adoption,administrator;developer;solution-architect;auditor;business-analyst;business-owner;data-engineer;database-administrator;developer;devops-engineer;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure,beginner
Accessibility fundamentals,https://docs.microsoft.com/en-us/learn/paths/accessibility-fundamentals/,4,"4,123","38,151",16.79%,"3,193",536,601,2559,16.01006549,"2,834",145,learn.accessibility-fundamentals,administrator;student,m365,beginner
Active Directory Domain Services,https://docs.microsoft.com/en-us/learn/paths/active-directory-domain-services/,5,"5,461","34,866",3.33%,"2,075",69,103,2559,23.57639321,"1,162",275,learn.wwl.active-directory-domain-services,administrator;security-engineer;solution-architect;technology-manager,windows-server,intermediate
Add logic to your applications with C#,https://docs.microsoft.com/en-us/learn/paths/csharp-logic/,5,"4,734","43,988",10.17%,"3,502",356,461,2559,24.32625687,"5,092",120,learn.languages.csharp-logic,developer,dotnet,beginner
Administer containers in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-containers-in-azure/,7,"23,364","225,897",23.97%,"1,777",426,453,2559,23.14679493,"6,504",310,learn.administer-containers-in-azure,administrator,azure;azure-container-instances;azure-container-registry,beginner
Administer infrastructure resources in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-infrastructure-resources-in-azure/,12,"47,981","498,809",19.86%,"1,747",347,243,2559,21.43283279,"9,617",665,learn.administer-infrastructure-resources-in-azure,administrator,azure;azure-virtual-machines;azure-storage;azure-portal;azure-monitor;azure-clis;azure-resource-manager;azure-automation,beginner
Administer Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/administer-portals/,4,"1,734","9,753",14.16%,798,113,128,2559,14.09746251,646,77,learn-bizapps.administer-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced
"Administer Power BI, Part 1 - Tenants, governance, collaboration",https://docs.microsoft.com/en-us/learn/paths/administer-power-bi-part-1/,5,"1,258","14,155",20.46%,474,97,110,2559,17.79068627,301,90,learn-bizapps.administer-power-bi-part-1,administrator,power-bi,intermediate
"Administer Power BI, Part 2 - Premium, Power BI embedded, automation",https://docs.microsoft.com/en-us/learn/paths/administer-power-bi-part-2/,4,839,"5,465",9.59%,344,33,35,2559,10.19678188,283,75,learn-bizapps.administer-power-bi-part-2,administrator,power-bi,intermediate
AI business school for education,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-education/,12,"4,804","42,081",11.89%,412,49,53,2559,16.21034901,"1,477",582,learn.ai-business-school-education,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for financial services,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-financial-services/,12,"5,009","42,514",9.76%,461,45,48,2559,15.93612498,"1,947",576,learn.ai-business-school-financial-services,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for government,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-government/,12,"4,849","40,977",10.26%,390,40,41,2559,15.62092528,"1,215",585,learn.ai-business-school-government,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
