,LearningPathUid_x,Title_x,LiveUrl,TotalModules,Certification,Title_y,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels
0,learn.security.secure-your-cloud-apps,Secure your cloud applications in Azure ,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,6,az-500,Secure your cloud applications in Azure,6.0,"20,848","188,298",3.03%,"9,809",297,328,4173,26.74570622,"9,781",336.0,learn.security.secure-your-cloud-apps,solution-architect;developer;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate;advanced
1,learn.security.manage-security-operations,Manage security operations in Azure ,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,az-500,Manage security operations in Azure,8.0,"46,931","434,368",16.67%,"2,682",447,460,4173,23.43075224,"8,072",360.0,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate
2,learn.security.manage-identity-and-access,Manage identity and access in Azure Active Directory ,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,az-500,Manage identity and access in Azure Active Directory,9.0,"60,090","550,256",8.89%,"9,642",857,893,4173,22.50016004,"16,750",317.0,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate
3,learn.security.manage-identity-and-access,Manage identity and access in Azure Active Directory ,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,ms-500,Manage identity and access in Azure Active Directory,9.0,"60,090","550,256",8.89%,"9,642",857,893,4173,22.50016004,"16,750",317.0,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate
4,learn.security.implement-resource-mgmt-security,Implement resource management security in Azure ,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,az-500,Implement resource management security in Azure,6.0,"56,784","764,850",39.17%,"3,173","1,243","1,294",4173,35.80730106,"9,477",207.0,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate
5,learn.security.implement-network-security,Implement network security in Azure ,https://docs.microsoft.com/en-us/learn/paths/implement-network-security/,5,az-500,Implement network security in Azure,5.0,"31,142","318,685",30.32%,"2,625",796,840,4173,26.37086785,"8,260",310.0,learn.security.implement-network-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-application-gateway;azure-expressroute;azure-virtual-network;azure-vpn-gateway,beginner;intermediate
6,learn.security.implement-host-security,Implement virtual machine host security in Azure ,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,6,az-500,Implement virtual machine host security in Azure,6.0,"31,381","260,429",18.52%,"1,577",292,333,4173,19.54548294,"5,885",364.0,learn.security.implement-host-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-virtual-machines,beginner;intermediate
7,learn-m365.m365-security-threat-protection,Defend against threats with Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/m365-security-threat-protection/,4,ms-500,Defend against threats with Microsoft 365,4.0,"8,006","58,746",13.08%,"3,792",496,581,4173,19.70764635,"5,244",217.0,learn-m365.m365-security-threat-protection,administrator,m365;office-365;m365-threat-protection,intermediate
8,learn-m365.m365-security-management,Manage security with Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/m365-security-management/,4,ms-500,Manage security with Microsoft 365,4.0,"2,533","15,285",16.11%,"1,856",299,343,4173,11.458540600000001,"5,816",44.0,learn-m365.m365-security-management,administrator,m365;office-365;windows;m365-security-center,intermediate
9,learn-m365.m365-information-protection,Protect enterprise information with Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/m365-information-protection/,5,ms-500,Protect enterprise information with Microsoft 365,5.0,"2,264","19,631",20.86%,"1,299",271,309,4173,14.05321702,"4,060",60.0,learn-m365.m365-information-protection,administrator;auditor,m365;office-365;m365-information-protection;m365-security-center,intermediate
10,learn-m365.m365-compliance-insider,Manage insider risk in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-insider/,5,ms-500,Manage insider risk in Microsoft 365,5.0,"1,817","13,940",15.38%,"1,040",160,184,4173,20.70727389,"1,426",223.0,learn-m365.m365-compliance-insider,administrator;auditor,m365;office-365,intermediate
11,learn.wwl.describe-concepts-of-security-compliance-identity,"SC-900 part 1: Describe the concepts of security, compliance, and identity ",https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,sc-900,"SC-900 part 1: Describe the concepts of security, compliance, and identity",2.0,"10,788","112,328",22.66%,"9,425","2,136","2,236",4173,23.53207267,"2,452",45.0,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner
